title,artist,album,album_type,release_date,url,id
Devorame Otra Vez - Merengue,Eddy Herrera,El Galan Del Merengue,album,2024-10-11,https://open.spotify.com/track/3DRm6YSz6uaakXe1bKhn7j,3DRm6YSz6uaakXe1bKhn7j
Cuando Te Toco (Ft. JFab & Paola Fabre),Henry Santos,2.5,album,2024-10-11,https://open.spotify.com/track/1bOq6UqAEDyrghBid69pWN,1bOq6UqAEDyrghBid69pWN
Complete Sugar,Xtreme,Xtreme,album,2024-10-11,https://open.spotify.com/track/36FdXijfJk5Yq5vzmLzgny,36FdXijfJk5Yq5vzmLzgny
Central Snug,Xtreme,Xtreme,album,2024-10-11,https://open.spotify.com/track/7E0kcEu8a2PkB6tmnoF0Jg,7E0kcEu8a2PkB6tmnoF0Jg
Broken Dizzy,Xtreme,Xtreme,album,2024-10-11,https://open.spotify.com/track/7qp9QjONsgPBNMdvY0BnKi,7qp9QjONsgPBNMdvY0BnKi
Brindo Con Agua (Aventura),Aventura,2.5,album,2024-10-11,https://open.spotify.com/track/1EpBXu1gmfJj09so3yL38e,1EpBXu1gmfJj09so3yL38e
Boss Jockey,Xtreme,Xtreme,album,2024-10-11,https://open.spotify.com/track/0D4W46VKozLGRcIuvbbjCo,0D4W46VKozLGRcIuvbbjCo
Anticipated Crossing,Xtreme,Xtreme,album,2024-10-11,https://open.spotify.com/track/2UBx2Vo6hidVjfRKwZC8Fm,2UBx2Vo6hidVjfRKwZC8Fm
Above Wobble,Xtreme,Xtreme,album,2024-10-11,https://open.spotify.com/track/4FP1L6xqx1cweFbpcSftla,4FP1L6xqx1cweFbpcSftla
A Dormir Juntitos - Bachata,Eddy Herrera,El Galan Del Merengue,album,2024-10-11,https://open.spotify.com/track/7yOUnn4ruzK76UJPLlUjQp,7yOUnn4ruzK76UJPLlUjQp
